dates,prices,mas,signals,returns
2023-09-22 13:59:00,26609.99,26311.57410360105,-1.0,99.97715337974444
2023-09-22 14:00:00,26595.14,26311.610118315162,-1.0,99.97715337974444
2023-09-22 14:01:00,26602.62,26311.64650002148,-1.0,99.97715337974444
2023-09-22 14:02:00,26594.43,26311.68252979389,-1.0,99.97715337974444
2023-09-22 14:03:00,26612.0,26311.71931506257,-1.0,99.97715337974444
2023-09-22 14:04:00,26630.63,26311.756902293135,-1.0,99.97715337974444
2023-09-22 14:05:00,26661.92,26311.79586886372,-1.0,99.97715337974444
2023-09-22 14:06:00,26678.61,26311.835698920077,-1.0,99.97715337974444
2023-09-22 14:07:00,26672.02,26311.87536978873,-1.0,99.97715337974444
2023-09-22 14:08:00,26663.1,26311.91500408723,-1.0,99.97715337974444
2023-09-22 14:09:00,26662.6,26311.95476057305,-1.0,99.97715337974444
2023-09-22 14:10:00,26635.82,26311.993553327855,-1.0,99.97715337974444
2023-09-22 14:11:00,26640.9,26312.032931205067,-1.0,99.97715337974444
2023-09-22 14:12:00,26637.03,26312.072292733268,-1.0,99.97715337974444
2023-09-22 14:13:00,26637.93,26312.111155616716,-1.0,99.97715337974444
2023-09-22 14:14:00,26627.24,26312.149472529334,-1.0,99.97715337974444
2023-09-22 14:15:00,26618.09,26312.18762207974,-1.0,99.97715337974444
2023-09-22 14:16:00,26602.05,26312.225155100434,-1.0,99.97715337974444
2023-09-22 14:17:00,26593.89,26312.262336617452,-1.0,99.97715337974444
2023-09-22 14:18:00,26592.61,26312.29949576214,-1.0,99.97715337974444
2023-09-22 14:19:00,26609.59,26312.337541195175,-1.0,99.97715337974444
2023-09-22 14:20:00,26600.0,26312.375104332466,-1.0,99.97715337974444
2023-09-22 14:21:00,26608.02,26312.413051671447,-1.0,99.97715337974444
2023-09-22 14:22:00,26622.61,26312.451587574735,-1.0,99.97715337974444
2023-09-22 14:23:00,26628.51,26312.490233618704,-1.0,99.97715337974444
2023-09-22 14:24:00,26638.41,26312.529099944048,-1.0,99.97715337974444
2023-09-22 14:25:00,26629.82,26312.56753990447,-1.0,99.97715337974444
2023-09-22 14:26:00,26624.86,26312.605917480512,-1.0,99.97715337974444
2023-09-22 14:27:00,26618.22,26312.644009809384,-1.0,99.97715337974444
2023-09-22 14:28:00,26631.46,26312.683086090416,-1.0,99.97715337974444
2023-09-22 14:29:00,26631.47,26312.722031149147,-1.0,99.97715337974444
2023-09-22 14:30:00,26660.6,26312.762229058197,-1.0,99.97715337974444
2023-09-22 14:31:00,26680.99,26312.80320569632,-1.0,99.97715337974444
2023-09-22 14:32:00,26670.01,26312.84370993416,-1.0,99.97715337974444
2023-09-22 14:33:00,26654.14,26312.883629910066,-1.0,99.97715337974444
2023-09-22 14:34:00,26665.46,26312.923573118773,-1.0,99.97715337974444
2023-09-22 14:35:00,26660.53,26312.96328959255,-1.0,99.97715337974444
2023-09-22 14:36:00,26666.62,26313.003268510936,-1.0,99.97715337974444
2023-09-22 14:37:00,26673.45,26313.04354128123,-1.0,99.97715337974444
2023-09-22 14:38:00,26657.23,26313.082575829263,-1.0,99.97715337974444
2023-09-22 14:39:00,26654.03,26313.121349653644,-1.0,99.97715337974444
2023-09-22 14:40:00,26661.76,26313.16057694788,-1.0,99.97715337974444
2023-09-22 14:41:00,26645.2,26313.198990233603,-1.0,99.97715337974444
2023-09-22 14:42:00,26657.45,26313.237930989962,-1.0,99.97715337974444
2023-09-22 14:43:00,26660.53,26313.277150109698,-1.0,99.97715337974444
2023-09-22 14:44:00,26660.07,26313.31620315793,-1.0,99.97715337974444
2023-09-22 14:45:00,26645.01,26313.35452265197,-1.0,99.97715337974444
2023-09-22 14:46:00,26634.36,26313.392384373776,-1.0,99.97715337974444
2023-09-22 14:47:00,26623.26,26313.42976810221,-1.0,99.97715337974444
2023-09-22 14:48:00,26631.88,26313.467672847724,-1.0,99.97715337974444
2023-09-22 14:49:00,26623.03,26313.505417975288,-1.0,99.97715337974444
