signal,btc,usdt,time,price,quantity,commission,fillsLength
1,0.0005,0.008122200000004298,1679572877627,27564.04000000,0.00050000,0.00000050,1
-1,0.0,14.107617200000004,1679583658865,28198.99000000,0.00050000,0.01409950,1
1,0.0005,0.10678220000000316,1679598063235,28001.67000000,0.00050000,0.00000050,1
-1,0.0,14.244287200000004,1679601659878,28275.01000000,0.00050000,0.01413751,1
1,0.0005,0.16810720000000323,1679608865477,28152.36000000,0.00050000,0.00000050,1
-1,0.0,14.274782200000002,1679612490664,28213.35000000,0.00050000,0.01410668,1
1,0.0005,0.17966720000000258,1679619695962,28190.23000000,0.00050000,0.00000050,1
-1,0.0,14.309132200000002,1679623294512,28258.93000000,0.00050000,0.01412947,1
1,0.0005,0.20913720000000247,1679626916301,28199.99000000,0.00050000,0.00000050,1
-1,0.0,14.354707200000002,1679637721093,28291.14000000,0.00050000,0.01414557,1
1,0.00051,0.06288030000000155,1679648458534,28023.19000000,0.00051000,0.00000051,1
-1,0.0,14.118046800000002,1679706087104,27559.15000000,0.00051000,0.01405517,1
1,0.00051,0.09342420000000118,1679709689285,27499.26000000,0.00051000,0.00000051,1
-1,0.0,14.166960900000001,1679713318044,27595.17000000,0.00051000,0.01407354,1
1,0.00051,0.13207710000000006,1679720497699,27519.38000000,0.00051000,0.00000051,1
-1,0.0,14.1453471,1679738459498,27477.00000000,0.00051000,0.01401327,1
1,0.00051,0.13930889999999962,1679745675159,27462.82000000,0.00051000,0.00000051,1
-1,0.0,14.2053384,1679752854177,27580.45000000,0.00051000,0.01406603,1
1,0.00051,0.1983618000000007,1679767266620,27464.66000000,0.00051000,0.00000051,1
-1,0.0,14.1746058,1679781665710,27404.40000000,0.00051000,0.01397624,1
1,0.00051,0.13566750000000027,1679803296178,27527.33000000,0.00051000,0.00000051,1
-1,0.0,14.1913032,1679810519159,27560.07000000,0.00051000,0.01405564,1
1,0.00051,0.1719387000000001,1679814093005,27488.95000000,0.00051000,0.00000051,1
-1,0.0,14.2771668,1679821265265,27657.31000000,0.00051000,0.01410523,1
1,0.00051,0.1093668000000001,1679842857606,27780.00000000,0.00051000,0.00000051,1
-1,0.0,14.303442,1679853681945,27831.52000000,0.00051000,0.01419408,1
1,0.00051,0.12166290000000046,1679857259711,27807.41000000,0.00051000,0.00000051,1
-1,0.0,14.309439600000001,1679860860005,27819.17000000,0.00051000,0.01418778,1
1,0.00051,0.14581649999999868,1679864456467,27771.81000000,0.00051000,0.00000051,1
-1,0.0,14.332970999999999,1679868067901,27817.95000000,0.00051000,0.01418715,1
1,0.00051,0.13432620000000028,1679882480901,27840.48000000,0.00051000,0.00000051,1
-1,0.0,14.3625051,1679893303872,27898.39000000,0.00051000,0.01032240,2
1,0.00051,0.22061820000000054,1679896926277,27729.19000000,0.00051000,0.00000051,1
-1,0.0,14.423592900000001,1679907668662,27848.97000000,0.00051000,0.01420297,1
1,0.00052,0.00021249999999994884,1679922069015,27737.27000000,0.00052000,0.00000052,1
-1,0.0,14.1301257,1679954484863,27172.91000000,0.00052000,0.01412991,1
1,0.00052,0.04869730000000061,1679958102489,27079.67000000,0.00052000,0.00000052,1
-1,0.0,14.163171700000001,1679961743012,27143.22000000,0.00052000,0.01411447,1
1,0.00052,0.17517169999999993,1679965296685,26900.00000000,0.00052000,0.00000052,1
-1,0.0,14.2492317,1679968895492,27065.50000000,0.00052000,0.01407406,1
1,0.00052,0.18987209999999877,1679972520498,27037.23000000,0.00052000,0.00000052,1
-1,0.0,14.230423299999998,1679983327955,27001.06000000,0.00052000,0.01404055,1
1,0.00052,0.20588809999999746,1679990499087,26970.26000000,0.00052000,0.00000052,1
-1,0.0,14.252055299999997,1679994069421,27011.86000000,0.00052000,0.01404617,1
1,0.00053,0.006794799999996215,1679997673385,26877.85000000,0.00053000,0.00000053,1
-1,0.0,14.373308699999995,1680004863788,27106.63000000,0.00053000,0.01436651,1
1,0.00053,0.14408599999999616,1680012062292,26847.59000000,0.00053000,0.00000053,1
-1,0.0,14.421490999999996,1680015661665,26938.50000000,0.00053000,0.01427741,1
1,0.00053,0.18806009999999596,1680022884648,26855.53000000,0.00053000,0.00000053,1
-1,0.0,14.694997499999996,1680030062852,27371.58000000,0.00053000,0.01450694,1
1,0.00054,0.026810099999995174,1680040887836,27163.31000000,0.00054000,0.00000054,1
-1,0.0,14.734298699999995,1680044501962,27236.09000000,0.00054000,0.01470749,1
1,0.00052,0.01570389999999655,1680102075351,28304.99000000,0.00052000,0.00000052,1
-1,0.0,14.804503899999997,1680105677171,28440.00000000,0.00052000,0.01478880,1
1,0.00052,0.14980149999999703,1680109283917,28182.12000000,0.00052000,0.00000052,1
-1,0.0,14.873398699999997,1680116481522,28314.61000000,0.00052000,0.01472360,1
1,0.00052,0.15510029999999553,1680127291250,28304.42000000,0.00052000,0.00000052,1
-1,0.0,14.919023499999996,1680130901894,28392.16000000,0.00052000,0.01476392,1
1,0.00052,0.1103282999999955,1680148877161,28478.26000000,0.00052000,0.00000052,1
-1,0.0,14.981329899999995,1680152502475,28598.08000000,0.00052000,0.00028598,2
1,0.00052,0.12681229999999744,1680166864314,28566.38000000,0.00052000,0.00000052,1
-1,0.0,15.002441899999997,1680174062659,28606.98000000,0.00052000,0.01487563,1
1,0.00052,0.16267149999999475,1680184856793,28538.02000000,0.00052000,0.00000052,1
-1,0.0,14.816744699999994,1680210064191,28180.91000000,0.00052000,0.01465407,1
1,0.00053,0.03838369999999358,1680217355993,27883.70000000,0.00053000,0.00000053,1
